"","Fecha","sitio","Longitud","Latitud","PM10","Tabla$sitio"
"1",2023-01-01 00:00:00,"Belfast Centre",-5.928833,54.59965,8.675,"Belfast Centre"
"2",2023-01-01 01:00:00,"Belfast Centre",-5.928833,54.59965,8.275,"Belfast Centre"
"3",2023-01-01 02:00:00,"Belfast Centre",-5.928833,54.59965,9.15,"Belfast Centre"
"4",2023-01-01 03:00:00,"Belfast Centre",-5.928833,54.59965,12.375,"Belfast Centre"
"5",2023-01-01 04:00:00,"Belfast Centre",-5.928833,54.59965,5.375,"Belfast Centre"
"6",2023-01-01 05:00:00,"Belfast Centre",-5.928833,54.59965,8.075,"Belfast Centre"
"7",2023-01-01 06:00:00,"Belfast Centre",-5.928833,54.59965,9.875,"Belfast Centre"
"8",2023-01-01 07:00:00,"Belfast Centre",-5.928833,54.59965,8.275,"Belfast Centre"
"9",2023-01-01 08:00:00,"Belfast Centre",-5.928833,54.59965,7.825,"Belfast Centre"
"10",2023-01-01 09:00:00,"Belfast Centre",-5.928833,54.59965,12.575,"Belfast Centre"
"11",2023-01-01 10:00:00,"Belfast Centre",-5.928833,54.59965,14.925,"Belfast Centre"
"12",2023-01-01 11:00:00,"Belfast Centre",-5.928833,54.59965,10.775,"Belfast Centre"
"13",2023-01-01 12:00:00,"Belfast Centre",-5.928833,54.59965,12.4,"Belfast Centre"
"14",2023-01-01 13:00:00,"Belfast Centre",-5.928833,54.59965,5.975,"Belfast Centre"
"15",2023-01-01 14:00:00,"Belfast Centre",-5.928833,54.59965,4.575,"Belfast Centre"
"16",2023-01-01 15:00:00,"Belfast Centre",-5.928833,54.59965,4.4,"Belfast Centre"
"17",2023-01-01 16:00:00,"Belfast Centre",-5.928833,54.59965,4.925,"Belfast Centre"
"18",2023-01-01 17:00:00,"Belfast Centre",-5.928833,54.59965,6.35,"Belfast Centre"
"19",2023-01-01 18:00:00,"Belfast Centre",-5.928833,54.59965,7.375,"Belfast Centre"
"20",2023-01-01 19:00:00,"Belfast Centre",-5.928833,54.59965,4.9,"Belfast Centre"
"21",2023-01-01 20:00:00,"Belfast Centre",-5.928833,54.59965,8.625,"Belfast Centre"
"22",2023-01-01 21:00:00,"Belfast Centre",-5.928833,54.59965,8.075,"Belfast Centre"
"23",2023-01-01 22:00:00,"Belfast Centre",-5.928833,54.59965,6.6,"Belfast Centre"
"24",2023-01-01 23:00:00,"Belfast Centre",-5.928833,54.59965,12.2,"Belfast Centre"
"25",2023-01-02 00:00:00,"Belfast Centre",-5.928833,54.59965,10.05,"Belfast Centre"
"26",2023-01-02 01:00:00,"Belfast Centre",-5.928833,54.59965,16.275,"Belfast Centre"
"27",2023-01-02 02:00:00,"Belfast Centre",-5.928833,54.59965,16.8,"Belfast Centre"
"28",2023-01-02 03:00:00,"Belfast Centre",-5.928833,54.59965,15.125,"Belfast Centre"
"29",2023-01-02 04:00:00,"Belfast Centre",-5.928833,54.59965,12.6,"Belfast Centre"
"30",2023-01-02 05:00:00,"Belfast Centre",-5.928833,54.59965,11.375,"Belfast Centre"
"31",2023-01-02 06:00:00,"Belfast Centre",-5.928833,54.59965,10.45,"Belfast Centre"
"32",2023-01-02 07:00:00,"Belfast Centre",-5.928833,54.59965,8.75,"Belfast Centre"
"33",2023-01-02 08:00:00,"Belfast Centre",-5.928833,54.59965,8.15,"Belfast Centre"
"34",2023-01-02 09:00:00,"Belfast Centre",-5.928833,54.59965,8.125,"Belfast Centre"
"35",2023-01-02 10:00:00,"Belfast Centre",-5.928833,54.59965,9.575,"Belfast Centre"
"36",2023-01-02 11:00:00,"Belfast Centre",-5.928833,54.59965,9.175,"Belfast Centre"
"37",2023-01-02 12:00:00,"Belfast Centre",-5.928833,54.59965,9.4,"Belfast Centre"
"38",2023-01-02 13:00:00,"Belfast Centre",-5.928833,54.59965,10.35,"Belfast Centre"
"39",2023-01-02 14:00:00,"Belfast Centre",-5.928833,54.59965,11.075,"Belfast Centre"
